Temp	Dilation
843.32	0.02554
842.32	0.02543
841.4	0.02528
840.35	0.02512
839.33	0.02498
838.43	0.02487
837.34	0.02471
836.35	0.02458
835.36	0.02442
834.44	0.02429
833.45	0.02416
832.46	0.02403
831.37	0.02389
830.44	0.02374
829.36	0.02359
828.43	0.02348
827.35	0.02333
826.39	0.02318
825.38	0.02305
824.41	0.02294
823.33	0.02277
822.34	0.02262
821.37	0.02249
820.39	0.02236
819.47	0.02221
818.43	0.02205
817.42	0.02194
816.4	0.0218
815.5	0.02166
814.37	0.02149
813.44	0.02138
812.33	0.02122
811.35	0.02111
810.4	0.02097
809.33	0.02083
808.34	0.02069
807.31	0.02054
806.29	0.02039
805.39	0.02029
804.41	0.02015
803.38	0.01999
802.39	0.01986
801.36	0.01972
800.46	0.01958
799.38	0.01943
798.38	0.0193
797.37	0.01916
796.43	0.01903
795.49	0.01888
794.36	0.01873
793.33	0.01857
792.39	0.01845
791.39	0.01832
790.36	0.01817
789.43	0.01802
788.39	0.01787
787.37	0.01772
786.41	0.01761
785.38	0.01745
784.4	0.01731
783.45	0.01717
782.45	0.01707
781.53	0.01692
780.42	0.01679
779.36	0.01663
778.38	0.01648
777.46	0.01635
776.45	0.01623
775.46	0.01608
774.46	0.01593
773.43	0.01579
772.45	0.01568
771.49	0.01553
770.45	0.01539
769.39	0.01522
768.4	0.01513
767.37	0.01499
766.48	0.01485
765.45	0.0147
764.38	0.01449
763.37	0.01435
762.5	0.01421
761.44	0.01404
760.47	0.01393
759.42	0.01379
758.5	0.01365
757.58	0.01352
756.39	0.01336
755.39	0.01323
754.43	0.01311
753.55	0.01299
752.42	0.0128
751.51	0.01272
750.43	0.01256
749.56	0.01243
748.48	0.01225
747.47	0.01212
746.43	0.01198
745.36	0.01187
744.38	0.01171
743.4	0.01158
742.36	0.01145
741.32	0.01131
740.37	0.01118
739.53	0.01105
738.43	0.0109
737.43	0.01076
736.46	0.01063
735.43	0.01049
734.45	0.01036
733.47	0.01021
732.34	0.01009
731.49	0.00996
730.43	0.00981
729.45	0.00964
728.47	0.00954
727.35	0.00936
726.34	0.00924
725.47	0.00909
724.43	0.00893
723.43	0.00882
722.38	0.00868
721.33	0.00852
720.36	0.00839
719.37	0.00826
718.3	0.00812
717.24	0.00796
716.29	0.00784
715.28	0.00771
714.25	0.00757
713.43	0.00747
712.32	0.0073
711.29	0.00715
710.29	0.00702
709.26	0.00685
708.33	0.00673
707.24	0.00661
706.35	0.00645
705.27	0.00634
704.23	0.00618
703.31	0.00605
702.34	0.00594
701.41	0.00579
700.33	0.00564
699.33	0.0055
698.37	0.00539
697.23	0.00521
696.33	0.00511
695.26	0.00495
694.44	0.00481
693.27	0.00462
692.27	0.00448
691.18	0.00437
690.35	0.00429
689.33	0.00414
688.2	0.00396
687.31	0.00384
686.27	0.00369
685.25	0.00356
684.26	0.0034
683.24	0.0033
682.38	0.00318
681.34	0.00302
680.32	0.00287
679.35	0.00275
678.27	0.00261
677.41	0.00251
676.31	0.00235
675.34	0.0022
674.37	0.00207
673.3	0.00192
672.24	0.00178
671.28	0.00165
670.27	0.00152
669.28	0.0014
668.37	0.00124
667.41	0.00111
666.32	9.49E-04
665.18	8.18E-04
664.3	7.16E-04
663.31	6.01E-04
662.36	4.50E-04
661.43	3.25E-04
660.34	1.71E-04
659.38	3.94E-05
658.4	-1.07E-04
657.37	-2.19E-04
656.31	-3.53E-04
655.41	-4.57E-04
654.44	-6.26E-04
653.36	-7.59E-04
652.46	-8.68E-04
651.38	-9.97E-04
650.44	-0.00111
649.34	-0.00129
648.41	-0.0014
647.41	-0.00154
646.37	-0.00165
645.31	-0.0018
644.38	-0.00193
643.39	-0.00206
642.38	-0.0022
641.39	-0.0023
640.38	-0.00246
639.29	-0.00261
638.24	-0.00273
637.29	-0.00284
636.34	-0.00297
635.37	-0.0031
634.39	-0.00323
633.39	-0.00335
